no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid
1,2017/05/11,ほっとサロンみらい,10:30,11:15,輪島市子育て支援センター・児童センター,2fボランティアルーム,乳幼児と保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8039,,,0,https://www.facebook.com/mirai.kosodate.net.wajima/,,evt58f1b2c2806
2,2017/06/01,ほっとサロンみらい,10:30,11:15,輪島市子育て支援センター・児童センター,2fボランティアルーム,乳幼児と保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8039,,,0,https://www.facebook.com/mirai.kosodate.net.wajima/,,evt58f1b37e125
3,2017/07/06,ほっとサロンみらい,10:30,11:15,輪島市子育て支援センター・児童センター,2fボランティアルーム,乳幼児と保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8039,,,0,https://www.facebook.com/mirai.kosodate.net.wajima/,,evt58f1b41d571
