no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1
,手話であ・そ・ぼ,輪島市子育て支援センター・児童センター,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/21,14:00:00,16:00:00,
,科学であ・そ・ぼ,輪島市子育て支援センター・児童センター,小学生20名,スライムを作ろう！,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/22,10:00:00,12:00:00,
,おいしいマフィンを作ろう！,輪島市子育て支援センター・児童センター,小学生20名,かわいいアメリカンなカップケーキを焼きましょう♪※要申込　持ち物：エプロン、三角巾、ふきタオル,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/29,10:00:00,12:00:00,
,将棋教室,輪島市子育て支援センター・児童センター,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/11,10:00:00,12:00:00,
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/11,10:00:00,12:00:00,
,「いい歯いい食健康フェア」,ふれあい健康センター,どなたでも,健康フェアにぜひご参加ください。,輪島市健康推進課,0768-23-1136,0,2016/06/12,09:30:00,12:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「虫歯予防の歯みがきについて」講師：歯科医師　南　景子さん,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/16,10:30:00,11:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「お話し会」3～5歳　10：30～　　0～2歳　11時～　講師：中橋　範子さん,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/23,10:30:00,11:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「6月うまれたんじょう会」「親子体操」講師：田辺　明美さん　協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/30,10:30:00,11:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「ベビーマッサージ」　要予約　持ち物：タオル・バスタオル　材料費：300円,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/21,10:30:00,11:30:00,
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「キラキラ笹飾りを作ろう」,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/28,10:30:00,11:30:00,
,手話であ・そ・ぼ,輪島市子育て支援センター・児童センター,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/18,14:00:00,16:00:00,
,暑中見舞いボランティア,ふれあい健康センター２階ボランティアルーム,小学生～大人,市内75歳以上の一人暮らしの方へ送る暑中見舞いハガキを作ります！出入りは自由ですのでぜひご参加ください。,輪島市子育て支援センター・児童センター、輪島市ボランティアセンター,0768-22-8031,0,2016/06/19,10:00:00,15:00:00,
,わじまキッズランド,輪島市子育て支援センター・児童センター,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/26,10:00:00,12:00:00,
,クラフト工房で働こう～おしごと体験企画・第１回～,輪島市子育て支援センター・児童センター,小学生20人　要予約,今回のクラフト工房は「カラフルタイル」を使って、キッズ朝市で販売するかわいい小物を作ります。お給料はわん（模擬通貨）で通帳に入金されます。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/26,13:30:00,15:30:00,
,暑中見舞いボランティア,輪島市もんぜん児童館,小学生～大人,市内75歳以上の一人暮らしの方に贈る、暑中見舞いのハガキを作ります。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/11,10:00:00,11:30:00,
,ドッジビー大会,輪島市もんぜん児童館,小学生,放課後ドッジビーで燃えよう！,もんぜん児童館,0768-42-3166,0,2016/06/29,16:00:00,17:00:00,
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学1～3年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/06/16,15:30:00,16:15:00,
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学4～6年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/06/16,16:15:00,17:00:00,
