no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url
1,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。子育て中のママも、プレママも、先輩ママもお茶を飲んでおしゃべりしたり、リサイクルバザーをします。お気軽にどうぞ♪,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8031,無料,2016/05/12,10:30:00,11:15:00,,
2,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8032,無料,2016/06/02,10:30:00,11:15:00,,
3,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8033,無料,2016/07/07,10:30:00,11:15:00,,
4,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8034,無料,2016/09/01,10:30:00,11:15:00,,
5,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8035,無料,2016/10/06,10:30:00,11:15:00,,
6,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8036,無料,2016/11/10,10:30:00,11:15:00,,
7,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8037,無料,2016/12/01,10:30:00,11:15:00,,
8,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8038,無料,2017/02/02,10:30:00,11:15:00,,
9,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8039,無料,2017/03/02,10:30:00,11:15:00,,
