no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1
,うさちゃん広場,輪島市子育て支援センター,乳幼児親子 妊婦 妊婦,ぴょんぴょん運動会！,輪島子育て支援センター・児童センター,輪島子育て支援センター・児童センター（0768-22-8031),0,2016/02/12,10:30:00,11:00:00,over5
,鳥の巣箱作りと生き物観察会,石休場,乳幼児親子、小学生,鳥の巣箱を作ります,昆虫クラブ,昆虫クラブ,300,2016/02/16,10:00:00,15:00:00,over8
,生き物観察と雪遊び,輪島市町野町金蔵,乳幼児親子、小学生,真冬の生き物観察と雪遊びです。,昆虫クラブ,昆虫クラブ,300,2016/02/11,10:00:00,12:00:00,over10
,うさちゃん広場「クリスマス会とお誕生会」,輪島市子育て支援センター,乳幼児親子,,輪島子育て支援センター・児童センター,輪島子育て支援センター・児童センター（0768-22-8031),0,2016/02/10,10:30:00,12:00:00,over5
,うさちゃん広場「クリスマス会とお誕生会」,輪島市子育て支援センター,乳幼児親子,,輪島子育て支援センター・児童センター,輪島子育て支援センター・児童センター（0768-22-8031),0,2016/02/10,10:30:00,12:00:00,over8
,ほっとサロンみらい「きままカルテットのほっとコンサート」,輪島市子育て支援センター,乳幼児親子、妊婦、妊婦,妊婦さん・子育て中のママ・先輩ママとの交流☆音楽鑑賞とティータイム☆リサイクルバザーなど,輪島子育て支援センター・児童センター,輪島子育て支援センター・児童センター（0768-22-8031),0,2016/02/23,10:30:00,12:00:00,over10
,ほっとサロンみらい,輪島市子育て支援センター,,古着交換、カフェもできますよ〜,輪島子育て支援センター・児童センター,輪島子育て支援センター・児童センター（0768-22-8031),0,2016/02/13,10:00:00,11:00:00,over5
