no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,URL
,,2,公園,弥生町第2子どもの広場,石川県輪島市河井町6部35番地42,37.393469,136.911171,,,,,,,,,
,,2,公園,中浜町子どもの広場,石川県輪島市河井町地内,,,,,,,,,,,
,,2,公園,夕陽ヶ丘子どもの広場,石川県輪島市堀町16字1番地,37.397684,136.890551,,,,,,,,,
,,2,公園,海士町子どもの広場,石川県輪島市海士町天地39番地,37.401668,136.897366,,,,,,,,,
,,2,公園,宮川町子どもの広場,石川県輪島市宅田町1字17番地16,37.387189,136.906609,,,,,,,,,
,,2,公園,名舟町子どもの広場,石川県輪島市名舟町ト部1番地1,37.432583,137.018721,,,,,,,,,
,,2,公園,鳳来山子どもの広場,石川県輪島市鳳至町寺山12番地,37.400728,136.896034,,,,,,,,,
,,2,公園,観音町子どもの広場,石川県輪島市河井町5部地内,37.394368,136.907926,,,,,,,,,
,,2,公園,輪島市鵠巣多目的広場,石川県輪島市大野町菰沢12の2番地,37.397287,136.933901,,,,,,,,,
,,2,公園,三井〜んなであそぼ あての森広場,石川県輪島市三井町長沢1字34番地2,37.315713,136.902193,,,,,,,,,
,,2,公園,輪島市緑の健康広場,石川県輪島市北谷町ニ字18番地,37.35958,136.906458,,,,,,,,,
,,2,公園,気勝平児童公園,石川県輪島市気勝平町24番地16,37.38225,136.898016,,,,,,,,,
,,2,公園,気勝平汐見台公園,石川県輪島市気勝平町1番地29,37.381369,136.89543,,,,,,,,,
,,2,公園,南町子どもの広場,石川県輪島市堀町3字3番地1,37.391012,136.896517,,,,,,,,,
,,2,公園,平成公園,石川県輪島市平成町10番地,37.393767,136.892757,,,,,,,,,
,,2,公園,おがせ公園,石川県輪島市平成町52番地,37.393644,136.893715,,,,,,,,,
,,2,公園,町野公園,石川県輪島市町野町鈴屋イ2番地1,37.424514,137.088845,,,,,,,,,
,,2,公園,望楼台公園,石川県輪島市門前町皆月大峯甲1番地1,37.354584,136.753697,,,,,,,,,
,,2,公園,あすなろ公園,石川県輪島市門前町浦上10の20番地1,37.305604,136.798132,,,,,,,,,
,,2,公園,上本郷農村公園,石川県輪島市門前町別所2の91番地,37.289895,136.838734,,,,,,,,,
,,2,公園,下本郷農村公園,石川県輪島市門前町谷口12の28番地,37.287706,136.813262,,,,,,,,,
,,2,公園,南農村公園,石川県輪島市門前町南カの15番地,37.254534,136.731276,,,,,,,,,
,,2,公園,道下農村公園,石川県輪島市門前町道下104の2番地1,37.288342,136.737218,,,,,,,,,
,,2,公園,大生農村公園,石川県輪島市門前町大生ろの11番地2,37.272227,136.754672,,,,,,,,,
,,2,公園,もんぜん文化村公園,石川県輪島市門前町腰細9の29番地,37.243116,136.704067,,,,,,,,,
,,2,公園,輪島市門前総合運動公園,石川県輪島市門前町清水7の1番地,37.291277,136.759793,,,,,,,,,
,,2,公園,輪島市門前モータースポーツ公園,石川県輪島市門前町道下118の48番地1,37.300036,136.740835,,,,,,,,,
,,2,公園,もんぜん文化村緑地広場,石川県輪島市門前町腰細9の29番地,37.242876,136.704263,,,,,,,,,
,,2,公園,千代泣き砂ふれあい広場,石川県輪島市門前町千代29の83番地,37.27025,136.733989,,,,,,,,,
,,2,公園,輪島市浦上健康増進広場,石川県輪島市門前町浦上チの1番地1,37.305604,136.798132,,,,,,,,,
,,2,公園,輪島市諸岡健康増進広場,石川県輪島市門前町道下にの49番地1,37.287091,136.738295,,,,,,,,,
,,2,公園,真名井児童公園,穴水町字大町,37.226306,136.908465,,,,,,,,,
,,2,公園,大町記念公園,穴水町字大町,37.225081,136.910313,,,遊具はブランコ、滑り台、動物の乗り物が二つ。砂遊び場。車通りが少なく割と落ち着いて遊べます。,,,,,,
,,2,公園,西川島児童公園,穴水町字川島,37.233026,136.902935,,,ブランコ、滑り台、太鼓橋があります。,,,,,,
,,2,公園,穴水交通公園,穴水町字川島,37.228149,136.91203,,,もともとが自動車学校。自転車の練習にはいいそうです。,,,,,,
,,2,公園,由比ヶ丘公園,穴水町字川島,37.224161,136.92046,,,,,,,,,
,,2,公園,川島児童公園,穴水町字川島,37.231387,136.908363,,,,,,,,,
89,,,公園,あすなろ広場,日本  〒927-0027 石川県鳳珠郡穴水町川島ツ−４４−５,37.22643295070154,136.91277980804443,,,ただ広い芝生。走り回るのに最適。ここでお祭りをよくしています。,海沿いなのでトンビに注意。,,,,,
